EOA,USD_STRAT_TOT,WETH_STRAT_TOT,DRO_USD,GNB_WETH,MAIN_WETH
0x05a84dac7d722e3313b5c94e2681baac3427ba76,0.000000000000000000,0.313771164,,,0.313771164
0xa27ec45fa707acadc0909a88a0ecaf2d08ba9375,0.000000000000000000,0.270759,,0.270759,
0xf12093b5ba0e98466b28cd0ec612fec565b91eb9,0.000000000000000000,0.2,,0.2,
0xb759d06d46cd700d06dbc174475fb9da35f52047,0.000000000000000000,0.05,,,0.05
0xf661103151192fb1753469d5961c4b1221e070b4,50000.000000000000000000,0,50000,,
0x53b830b24038021f266401f8618e7c5cb1abb623,5531.451468000000000000,0,5531.451468,,
0x4779a9b22a1fb68d856987e6e774eaae86104916,1256.023377999990000000,0,1256.023378,,
0xe3e12d344c356bf32f2a56999f6b1fdb9e8ffaa0,310.831372000000000000,0,310.831372,,
0x391bf92b788150d6e8f23ecc9624499552e2a092,197.638966000000000000,0,197.638966,,
0xafed99fcb86f4148b1e933aa45cdd46f2d2355e0,100.000000000000000000,0,100,0,
0x026995d5bf3ed2b55e05312260e46b5fe263b8d6,0.000000000000000000,0,,,
0x072155dbef6fca96e8a66c07228d1fb974997901,0.000000000000000000,0,0,,
0x0d1555531622cf39cc623dca214972bd8e587715,0.000000000000000000,0,,,
0x0e938f234cff703624a24770a18094cd71e2b37b,0.000000000000000000,0,,0,0
0x0f13b090efcceeb2ffb6711a5326546e25142709,0.000000000000000000,0,,,0
0x132a26c0e815704ce64283f4aab7333ccdc175dc,0.000000000000000000,0,,,0
0x15962221e0e7a41de9da1615f9cb64cbfff83408,0.000000000000000000,0,,,0
0x1d3dc9aafc9eb95d7df1cc84468a40979db6a4cd,0.000000000000000000,0,,,0
0x2479493e18cb729e940443a5589c358cef835647,0.000000000000000000,0,,,0
0x26a78cd6fe2f363d138addbbed469e1b491d4a9b,0.000000000000000000,0,,0,
0x2c62d107d8975456f61789ecbcb42928aed55fb6,0.000000000000000000,0,,,0
0x2e762cd33842b5e97e5d29485e4822f26ac1d267,0.000000000000000000,0,,,0
0x2f45724d7e384b38d5c97206e78470544304887f,0.000000000000000000,0,,,0
0x3251a5f525d3475fa509a081230aaec52a518e8d,0.000000000000000000,0,,0,0
0x32dddd527c295cff53a368f30f5ea33f9f1d172b,0.000000000000000000,0,,,0
0x34d4ecd77d6378ebdda1c62a38881e4587109181,0.000000000000000000,0,,,0
0x41e8adcc6084c9703ca446445fe58b893075788c,0.000000000000000000,0,0,,
0x421a8a0c6388faa1550e2636538d8d7605a8cede,0.000000000000000000,0,0,,
0x44b987081d9de5f0d3d9cbb672a4993ffdc90f8a,0.000000000000000000,0,,,0
0x45204a4637b14785e1a1099a7857e05196c68710,0.000000000000000000,0,,0,
0x4728a5e81775eb49f54d93895d51f564b9f815c2,0.000000000000000000,0,,0,
0x4ab52c1d3188708568c73f26c65a8d6abd2907aa,0.000000000000000000,0,,0,
0x558edfef58a5037aa287b8f4ffb0a6690cdcbf5d,0.000000000000000000,0,,0,0
0x57823effc8062e6382cb5b0d2d9ba3b140cd2fa1,0.000000000000000000,0,,0,
0x58bc1bf38977897a9c195fb8424a1fc744bdc92e,0.000000000000000000,0,0,,
0x598455bdcb5480fd87ba16ee1d895c168db7ec0c,0.000000000000000000,0,,,0
0x61810ccaa7cc4170fa564e4dd274b06cd041cb41,0.000000000000000000,0,,,0
0x627c125475d70bbb7eb138bd243851824c0865a1,0.000000000000000000,0,,0,0
0x6e4d8279f71f417a80f7a951dfa2bbdd2a7a3f2a,0.000000000000000000,0,,,0
0x751d9dfa524789f6d3eb2ff4d93713ddd23366ef,0.000000000000000000,0,,0,
0x79457a036ba1c59399353233c765f004e7c06adf,0.000000000000000000,0,0,,
0x7a88a91cccf33773b5172d12ad341b3575ac85e4,0.000000000000000000,0,,,0
0x7a9f080c0bd4bc7a3153e4d61365d264a7a20c6d,0.000000000000000000,0,,,
0x7af8650508f043804d5e94db481c8ecf2a713550,0.000000000000000000,0,,,0
0x7ce244e2812f3f73dd3294b0e71397ab819b57ee,0.000000000000000000,0,,,0
0x7ec6e81c1adf304187655c87a3d8ac61ed7b12b6,0.000000000000000000,0,,,0
0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c,0.000000000000000000,0,,0,
0x8430bfecc29bf6a28a8fe431bb6edb3c19c91d34,0.000000000000000000,0,,,
0x88e429bf788ff8fef2108faa817cd8dc41aca2e4,0.000000000000000000,0,,,0
0x99829c7fd07f4e9cc9337d8f08d65aba84423a9d,0.000000000000000000,0,0,,
0xad9cbd4b9b1a9cc08b32e09a7961bf5b07e52bf3,0.000000000000000000,0,,0,
